,Credit Suisse Hedge Fund Index ,Credit Suisse Convertible Arbitrage Hedge Fund Index,Credit Suisse Emerging Markets Hedge Fund Index,Credit Suisse Equity Market Neutral Hedge Fund Index,Credit Suisse Event Driven Hedge Fund Index,Credit Suisse Event Driven Distressed Hedge Fund Index,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,Credit Suisse Global Macro Hedge Fund Index,Credit Suisse Long/Short Equity Hedge Fund Index,Credit Suisse Managed Futures Hedge Fund Index,Credit Suisse Multi-Strategy Hedge Fund Index
Date,HEDG,HEDG_CVARB,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI
2022-4-30,0.39%,0.48%,-1.17%,-0.91%,-0.80%,0.14%,-0.95%,-1.25%,-0.54%,3.06%,-1.84%,4.43%,1.27%
2022-3-31,2.43%,-1.18%,-2.75%,0.24%,0.25%,0.40%,0.23%,0.31%,-0.31%,8.79%,0.51%,8.49%,2.28%
2022-2-28,0.37%,-0.35%,-2.71%,0.51%,-0.42%,0.33%,-0.72%,-0.04%,-0.59%,3.26%,-1.44%,2.10%,2.03%
2022-1-31,-0.66%,-0.95%,-1.93%,-0.82%,-2.03%,-0.98%,-2.51%,-0.88%,-0.06%,3.44%,-2.43%,1.43%,-1.20%
2021-12-31,1.92%,0.58%,0.07%,1.92%,0.26%,0.76%,0.15%,0.01%,1.31%,3.49%,2.99%,0.21%,2.13%
2021-11-30,-2.21%,-0.22%,-1.19%,-0.47%,-1.84%,-0.83%,-2.37%,0.11%,-0.46%,-3.11%,-2.98%,-3.95%,-1.41%
2021-10-31,1.28%,1.36%,1.64%,0.48%,1.70%,1.13%,1.97%,0.89%,-0.31%,0.36%,2.20%,3.87%,0.35%
2021-9-30,-0.02%,0.34%,-0.24%,-0.35%,0.61%,1.15%,0.68%,-1.31%,-0.01%,1.58%,-1.54%,0.94%,-0.01%
2021-8-31,0.92%,0.81%,1.86%,-0.05%,2.34%,0.53%,3.07%,1.00%,0.26%,0.86%,0.88%,0.04%,0.31%
2021-7-31,0.29%,-0.87%,-4.47%,1.54%,-0.53%,-0.87%,-0.42%,-0.54%,0.56%,0.10%,1.44%,0.86%,1.05%
2021-6-30,-0.67%,0.14%,1.20%,-1.04%,0.57%,0.71%,0.59%,0.03%,-0.07%,-2.77%,-0.65%,-0.56%,-0.89%
2021-5-31,1.10%,0.69%,0.73%,0.72%,1.10%,1.50%,1.04%,0.51%,0.50%,2.64%,0.42%,1.76%,0.99%
2021-4-30,2.59%,0.71%,3.08%,2.39%,1.92%,1.71%,1.90%,2.61%,1.24%,3.55%,3.10%,2.69%,2.23%
2021-3-31,0.73%,-0.81%,-2.19%,-0.46%,1.64%,2.29%,1.99%,-3.59%,0.41%,1.50%,0.74%,0.36%,1.11%
2021-2-28,2.33%,2.12%,1.04%,1.45%,3.15%,3.55%,3.24%,1.32%,0.36%,0.91%,4.55%,3.12%,1.46%
2021-1-31,-0.22%,1.34%,3.86%,-0.08%,1.40%,0.27%,1.42%,4.37%,1.34%,0.32%,-2.80%,-1.20%,-0.49%
2020-12-31,3.78%,0.83%,3.26%,1.78%,3.76%,2.32%,4.01%,6.05%,1.38%,4.48%,4.15%,5.27%,4.19%
2020-11-30,2.99%,2.83%,4.20%,-0.57%,6.75%,6.90%,6.89%,4.78%,1.11%,2.53%,4.00%,0.73%,1.02%
2020-10-31,-0.47%,0.49%,-1.89%,-0.47%,-0.32%,-0.19%,-0.40%,0.14%,0.78%,-1.08%,-0.63%,-0.15%,-0.20%
2020-9-30,-0.93%,0.40%,-0.94%,-1.12%,-0.20%,-0.69%,-0.15%,0.89%,0.59%,-1.63%,-1.50%,-2.19%,-0.52%
2020-8-31,1.72%,1.38%,1.46%,-0.07%,3.21%,1.85%,3.87%,0.77%,1.19%,1.89%,2.67%,-1.54%,0.92%
2020-7-31,2.64%,3.72%,4.40%,4.34%,1.74%,-0.24%,2.32%,2.32%,1.80%,4.33%,1.60%,2.83%,3.00%
2020-6-30,1.16%,2.01%,6.34%,1.89%,2.35%,1.92%,2.53%,2.36%,2.67%,-0.46%,1.11%,-1.45%,0.23%
2020-5-31,2.49%,1.81%,2.33%,-0.19%,2.85%,0.82%,3.92%,1.38%,2.00%,2.17%,4.08%,-0.58%,2.09%
2020-4-30,2.43%,1.92%,4.04%,1.64%,4.34%,2.82%,5.12%,3.61%,-1.91%,2.87%,4.32%,-0.88%,1.58%
2020-3-31,-7.28%,-6.43%,-10.27%,-3.12%,-13.47%,-10.09%,-15.59%,-6.35%,-6.51%,-6.19%,-7.41%,0.27%,-5.98%
2020-2-29,-1.99%,1.07%,-0.56%,-1.06%,-2.84%,-1.36%,-3.66%,-0.71%,0.17%,-2.04%,-3.30%,-1.47%,-1.56%
2020-1-31,0.16%,0.13%,0.30%,-1.16%,0.10%,0.60%,-0.12%,0.23%,0.63%,0.00%,-0.79%,1.25%,1.05%
2019-12-31,1.61%,2.14%,4.27%,1.51%,1.81%,1.18%,2.14%,1.06%,1.14%,1.51%,2.31%,0.22%,0.57%
2019-11-30,0.47%,1.04%,0.04%,-0.57%,0.59%,-0.20%,0.97%,0.05%,0.50%,-0.18%,1.31%,0.21%,0.08%
